resultno,reportdate,reportscope,reportperiod,scope,regioncode,industrytype
20200930520000J66,2020/09,合并,季报,all,520000,J66
20200930500000C30,2020/09,合并,季报,all,500000,C30
20200630320000R86,2020/06,合并,半年报,all,320000,R86
20191231120000C35,2019/12,合并,年报,all,120000,C35
20200630440000C32,2020/06,合并,半年报,all,440000,C32
20190630620000C39,2019/06,合并,半年报,all,620000,C39
20190331650000C13,2019/03,合并,季报,all,650000,C13
20190630320000M73,2019/06,合并,半年报,all,320000,M73
20200630410000C40,2020/06,合并,半年报,all,410000,C40
20200630500000R86,2020/06,合并,半年报,all,500000,R86
20200630370000Q85,2020/06,合并,半年报,all,370000,Q85
20200630370000R85,2020/06,合并,半年报,all,370000,R85
20190930410000A03,2019/09,合并,季报,all,410000,A03
20200630310000G60,2020/06,合并,半年报,all,310000,G60
20200331430000J69,2020/03,合并,季报,all,430000,J69
20200331330000C38,2020/03,合并,季报,all,330000,C38
20191231620000C15,2019/12,合并,年报,all,620000,C15
20190630370000K70,2019/06,合并,半年报,all,370000,K70
20200930370000C42,2020/09,合并,季报,all,370000,C42
20190930460000C27,2019/09,合并,季报,all,460000,C27
20200930350000C14,2020/09,合并,季报,all,350000,C14
20190630450000N77,2019/06,合并,半年报,all,450000,N77
20190630350000C26,2019/06,合并,半年报,all,350000,C26
20200630360000D44,2020/06,合并,半年报,all,360000,D44
20200630460000C15,2020/06,合并,半年报,all,460000,C15
20200630430000J67,2020/06,合并,半年报,all,430000,J67
20190930440000R86,2019/09,合并,季报,all,440000,R86
20200331520000C29,2020/03,合并,季报,all,520000,C29
20200630420000F51,2020/06,合并,半年报,all,420000,F51
20190930320000C32,2019/09,合并,季报,all,320000,C32
20200331110000O82,2020/03,合并,季报,all,110000,O82
20200331110000P82,2020/03,合并,季报,all,110000,P82
20190630430000I65,2019/06,合并,半年报,all,430000,I65
20190630330000C34,2019/06,合并,半年报,all,330000,C34
20200331620000D44,2020/03,合并,季报,all,620000,D44
20191231330000J69,2019/12,合并,年报,all,330000,J69
20190630210000C14,2019/06,合并,半年报,all,210000,C14
20190630460000C17,2019/06,合并,半年报,all,460000,C17
20190331110000N77,2019/03,合并,季报,all,110000,N77
20190630510000D45,2019/06,合并,半年报,all,510000,D45
20191231430000C38,2019/12,合并,年报,all,430000,C38
20200930210000C26,2020/09,合并,季报,all,210000,C26
20190930520000C15,2019/09,合并,季报,all,520000,C15
20200331320000D44,2020/03,合并,季报,all,320000,D44
20191231360000F51,2019/12,合并,年报,all,360000,F51
20190630130000I65,2019/06,合并,半年报,all,130000,I65
